n,id,Source,Local_odds,Reward,Time
1,Malik_Pilot,1,0.55,0,38.43335
2,Malik_Pilot,1,0.55,1,51.47641
3,Malik_Pilot,1,0.55,0,57.02841
4,Malik_Pilot,1,0.55,0,65.78007
5,Malik_Pilot,0,0.5,1,96.03129
6,Malik_Pilot,0,0.5,0,104.7821
7,Malik_Pilot,0,0.5,0,114.2664
8,Malik_Pilot,3,0.4,0,143.276
9,Malik_Pilot,3,0.4,1,149.2616
10,Malik_Pilot,3,0.4,0,158.4349
11,Malik_Pilot,3,0.4,0,163.7321
12,Malik_Pilot,3,0.4,0,169.2849
13,Malik_Pilot,3,0.4,1,174.6493
14,Malik_Pilot,3,0.4,0,179.7659
15,Malik_Pilot,3,0.4,0,185.0318
16,Malik_Pilot,3,0.4,0,190.7078
17,Malik_Pilot,2,0.45,0,236.4747
18,Malik_Pilot,2,0.45,0,242.3839
19,Malik_Pilot,2,0.45,0,247.6818
20,Malik_Pilot,2,0.45,0,252.8883
21,Malik_Pilot,2,0.45,0,257.9089
22,Malik_Pilot,2,0.45,1,264.6767
23,Malik_Pilot,2,0.45,0,270.2867
24,Malik_Pilot,2,0.45,0,275.5568
25,Malik_Pilot,2,0.45,1,280.6306
26,Malik_Pilot,2,0.45,1,285.7524
27,Malik_Pilot,2,0.45,1,290.9525
28,Malik_Pilot,2,0.45,1,296.1507
29,Malik_Pilot,2,0.45,1,302.6989
30,Malik_Pilot,2,0.45,1,307.7855
31,Malik_Pilot,2,0.45,1,314.0291
32,Malik_Pilot,2,0.45,0,319.1377
33,Malik_Pilot,2,0.45,1,324.5756
34,Malik_Pilot,2,0.45,0,330.5428
35,Malik_Pilot,2,0.45,0,335.7964
36,Malik_Pilot,2,0.45,1,341.4286
37,Malik_Pilot,2,0.45,0,349.0028
38,Malik_Pilot,2,0.45,0,355.3284
39,Malik_Pilot,2,0.45,0,361.2258
40,Malik_Pilot,2,0.45,1,366.5355
41,Malik_Pilot,2,0.45,1,376.2523
42,Malik_Pilot,2,0.45,1,381.6624
43,Malik_Pilot,2,0.45,0,389.379
44,Malik_Pilot,2,0.45,0,394.4426
45,Malik_Pilot,2,0.45,1,399.7299
46,Malik_Pilot,2,0.45,1,405.2057
47,Malik_Pilot,2,0.45,1,411.2244
48,Malik_Pilot,2,0.45,0,417.6996
49,Malik_Pilot,2,0.45,1,423.6182
50,Malik_Pilot,2,0.45,1,429.6194
51,Malik_Pilot,2,0.45,0,435.3133
52,Malik_Pilot,2,0.45,0,440.3552
53,Malik_Pilot,2,0.45,1,445.774
54,Malik_Pilot,2,0.45,0,452.1271
55,Malik_Pilot,2,0.45,0,458.5224
56,Malik_Pilot,2,0.45,1,463.61
57,Malik_Pilot,2,0.45,0,469.3629
58,Malik_Pilot,2,0.45,0,474.7605
59,Malik_Pilot,2,0.45,1,481.6021
60,Malik_Pilot,2,0.45,1,487.4774
61,Malik_Pilot,2,0.45,0,492.487
62,Malik_Pilot,2,0.45,1,497.4941
63,Malik_Pilot,2,0.45,0,502.8864
64,Malik_Pilot,2,0.45,0,508.3445
65,Malik_Pilot,2,0.45,1,513.8867
66,Malik_Pilot,2,0.45,0,519.2499
67,Malik_Pilot,2,0.45,0,524.4021
68,Malik_Pilot,2,0.45,1,529.6342
69,Malik_Pilot,2,0.45,0,534.6763
70,Malik_Pilot,2,0.45,1,540.4073
71,Malik_Pilot,2,0.45,0,548.7477
72,Malik_Pilot,2,0.45,1,553.7998
73,Malik_Pilot,2,0.45,1,559.942
74,Malik_Pilot,2,0.45,1,567.1158
75,Malik_Pilot,2,0.45,0,572.2795
76,Malik_Pilot,2,0.45,0,577.281
77,Malik_Pilot,2,0.45,0,582.336
78,Malik_Pilot,2,0.45,0,587.6755
79,Malik_Pilot,2,0.45,1,594.8228
80,Malik_Pilot,1,0.55,0,632.605
81,Malik_Pilot,1,0.55,1,637.7421
82,Malik_Pilot,1,0.55,1,643.5331
83,Malik_Pilot,1,0.55,1,649.4185
84,Malik_Pilot,1,0.55,0,654.6824
85,Malik_Pilot,1,0.55,0,660.0349
86,Malik_Pilot,1,0.55,1,666.1331
87,Malik_Pilot,1,0.55,0,671.2745
88,Malik_Pilot,1,0.55,0,676.546
89,Malik_Pilot,1,0.55,0,682.0583
90,Malik_Pilot,1,0.55,1,687.232
91,Malik_Pilot,1,0.55,1,693.2925
92,Malik_Pilot,1,0.55,1,698.5609
93,Malik_Pilot,1,0.55,1,705.4813
94,Malik_Pilot,1,0.55,0,712.6891
95,Malik_Pilot,1,0.55,0,727.4043
96,Malik_Pilot,1,0.55,1,732.9819
97,Malik_Pilot,1,0.55,0,738.5081
98,Malik_Pilot,1,0.55,1,744.0419
99,Malik_Pilot,1,0.55,1,749.0461
100,Malik_Pilot,1,0.55,1,756.0903
101,Malik_Pilot,1,0.55,0,761.3567
102,Malik_Pilot,1,0.55,0,767.2304
103,Malik_Pilot,1,0.55,0,772.3832
104,Malik_Pilot,1,0.55,0,778.3794
105,Malik_Pilot,1,0.55,0,783.8861
106,Malik_Pilot,1,0.55,0,789.1071
107,Malik_Pilot,2,0.45,1,823.1575
108,Malik_Pilot,2,0.45,0,832.6279
109,Malik_Pilot,2,0.45,0,837.9279
110,Malik_Pilot,2,0.45,1,843.4019
111,Malik_Pilot,2,0.45,0,850.5995
112,Malik_Pilot,2,0.45,1,857.1791
113,Malik_Pilot,2,0.45,0,862.8939
114,Malik_Pilot,2,0.45,0,868.2977
115,Malik_Pilot,2,0.45,1,874.0434
116,Malik_Pilot,2,0.45,0,880.062
117,Malik_Pilot,2,0.45,0,885.1932
118,Malik_Pilot,2,0.45,1,891.2018
119,Malik_Pilot,2,0.45,1,896.4661
120,Malik_Pilot,2,0.45,0,902.5936
121,Malik_Pilot,2,0.45,0,907.7038
122,Malik_Pilot,2,0.45,0,912.7684
